句型编号,句型结构,语法说明,适用级别,例句1,例句1中文,例句2,例句2中文,例句3,例句3中文,替换练习词
S01,I want to + 动词原形,表示主观上想要做某事，后接动词原形。否定形式为 don't want to。,L2-L6,I want to play football.,我想踢足球。,I want to drink milk.,我想喝牛奶。,She wants to be a teacher.,她想当老师。,eat/drink/play/go/read/swim/draw/sing/dance/watch/buy
S02,I need to + 动词原形,表示需要做某事，既可以表示客观需要，也可以表示主观需要。,L2-L6,I need to go to school.,我需要去上学。,We need to clean the room.,我们需要打扫房间。,You need to study hard.,你需要努力学习。,go/clean/study/buy/wash/read/write/finish/practice/help
S03,I am going to + 动词原形,表示一般将来时，用于表达已经计划或打算好的将来动作。,L3-L6,I am going to visit my grandma.,我打算去看望奶奶。,We are going to have a party.,我们打算举办一个派对。,It is going to rain.,要下雨了。,visit/have/play/go/eat/watch/read/travel/learn/make
S04,I like to + 动词原形,表示喜欢做某事，后接动词原形。也可用 I like + 名词/动名词。,L1-L6,I like to read books.,我喜欢读书。,I like apples.,我喜欢苹果。,They like to play soccer.,他们喜欢踢足球。,read/eat/play/swim/draw/sing/dance/watch/listen/cook
S05,I have to + 动词原形,表示客观上必须做某事，含有'不得不'的意味。否定形式为 don't have to。,L3-L6,I have to do my homework.,我不得不做作业。,She has to get up early.,她不得不早起。,We have to walk home.,我们不得不走回家。,do/go/get up/wear/finish/clean/study/wait/leave
S06,I can + 动词原形,表示能力（能/会）或许可（可以）。否定形式为 can't / cannot。,L1-L4,I can swim.,我会游泳。,Can you help me?,你能帮我吗？,She can speak English.,她会说英语。,swim/run/jump/read/write/sing/dance/cook/help/play
S07,I should + 动词原形,表示应该做某事，提出建议或劝告。,L4-L6,I should study hard.,我应该努力学习。,You should eat more vegetables.,你应该多吃蔬菜。,We should protect the environment.,我们应该保护环境。,study/eat/go/finish/tell/help/try/read/practice
S08,I must + 动词原形,表示必须做某事，语气比 have to 更强。,L5-L6,I must finish my homework.,我必须完成作业。,You must be quiet in the library.,你在图书馆必须安静。,We must follow the rules.,我们必须遵守规则。,finish/be/follow/go/keep/stop/remember/tell/try
S09,There is/are + 名词,表示某处有某物/某人。is用于单数，are用于复数。,L2-L4,There is a book on the desk.,桌子上有一本书。,There are three cats.,有三只猫。,Is there a bank near here?,附近有银行吗？,a book/three cats/some water/many students/a park
S10,What do you...?,特殊疑问句，用于询问信息。,L2-L6,What do you like?,你喜欢什么？,What time is it?,几点了？,Where is my bag?,我的书包在哪？,like/want/need/do/have/see/eat/play/go/read
