场景编号,场景类别,场景名称,适用级别,角色A,角色B,对话轮次,核心句型,核心词汇
D01,家庭生活,问候与介绍,L1-L2,"Hi, what's your name?",My name is Lily. What's your name?,4,What's your name? / Nice to meet you,"name, meet"
D01,家庭生活,问候与介绍,L1-L2,"I'm Alex. Nice to meet you, Lily.","Nice to meet you too, Alex.",4,What's your name? / Nice to meet you,"name, meet"
D02,家庭生活,家庭成员,L2-L3,How many people are there in your family?,"There are four people in my family. My dad, mom, brother, and me.",3,How many...? / There are...,"family, people, dad, mom, brother"
D02,家庭生活,家庭成员,L2-L3,That's nice. I have a smaller family with just my mom and me.,,3,How many...? / There are...,"family, people, dad, mom, brother"
D03,学校生活,学校日常,L2-L3,What do you do at school?,"We have math, English, and science classes. We also have recess and lunchtime.",3,What do you do...? / Which...?,"school, math, English, science, class"
D03,学校生活,学校日常,L2-L3,Which subject do you like the most?,I like English the most. It's fun to learn new words.,3,What do you do...? / Which...?,"school, math, English, science, class"
D04,社交场景,爱好与兴趣,L2-L3,What do you like to do in your free time?,I like drawing and playing soccer. How about you?,3,What do you like to do...?,"like, draw, play, soccer, read, piano"
D04,社交场景,爱好与兴趣,L2-L3,I enjoy reading books and playing the piano. It's relaxing.,,3,What do you like to do...?,"like, draw, play, soccer, read, piano"
D05,社交场景,购物,L3-L4,I want to buy a toy. Can you help me?,Of course! What kind of toy do you want?,3,I want to buy... / What kind of...?,"buy, toy, help, kind"
D05,社交场景,购物,L3-L4,I want a stuffed teddy bear. It's so cute!,,3,I want to buy... / What kind of...?,"buy, toy, help, kind"
D06,家庭生活,生日派对,L2-L3,It's my birthday next week. I'm having a party.,That sounds fun! Where is the party?,3,It's my birthday... / Where is...?,"birthday, party, fun, house"
D06,家庭生活,生日派对,L2-L3,"It's at my house. There will be games, cake, and presents.",,3,It's my birthday... / Where is...?,"birthday, party, fun, house"
D07,社交场景,在公园玩耍,L2-L3,Do you want to go to the park with me?,"Yes, I'd love to. What can we do there?",3,Do you want to...? / What can we...?,"park, swing, slide, play, catch"
D07,社交场景,在公园玩耍,L2-L3,"We can swing on the swings, slide down the slide, and play catch.",,3,Do you want to...? / What can we...?,"park, swing, slide, play, catch"
D08,社交场景,动物园之行,L3-L4,Let's go to the zoo. There are so many animals to see.,That sounds exciting! I want to see the lions and monkeys.,3,Let's... / I want to see...,"zoo, animal, lion, monkey, picture"
D08,社交场景,动物园之行,L3-L4,Don't forget to bring your camera to take pictures.,,3,Let's... / I want to see...,"zoo, animal, lion, monkey, picture"
D09,学校生活,教室对话,L2-L3,"Can you pass me the pencil, please?","Sure, here you go.",3,Can you pass me...? / Here you go,"pencil, eraser, borrow, pass"
D09,学校生活,教室对话,L2-L3,Thank you. Do you have an eraser I can borrow?,"Yes, here's one.",3,Can you pass me...? / Here you go,"pencil, eraser, borrow, pass"
D10,情感表达,医生访问,L3-L4,I don't feel well. My head hurts.,You should see a doctor. They can help you feel better.,3,I don't feel well... / You should...,"feel, hurt, doctor, help, scared"
D10,情感表达,医生访问,L3-L4,I'm scared of doctors. Will it hurt?,,3,I don't feel well... / You should...,"feel, hurt, doctor, help, scared"
D11,情感表达,假期计划,L4-L5,Summer vacation is coming soon. What are your plans?,My family is going to the beach. We'll swim and relax.,3,What are your plans? / I am going to...,"vacation, plan, beach, swim, camp"
D11,情感表达,假期计划,L4-L5,That sounds amazing. I'm going camping with my friends.,,3,What are your plans? / I am going to...,"vacation, plan, beach, swim, camp"
D12,社交场景,在餐厅用餐,L3-L4,"Can I have a menu, please?",Here you go. Are you ready to order?,3,Can I have...? / Are you ready to...?,"menu, order, cheeseburger, cola, please"
D12,社交场景,在餐厅用餐,L3-L4,"Yes, I'll have a cheeseburger and a cola, please.",,3,Can I have...? / Are you ready to...?,"menu, order, cheeseburger, cola, please"
D13,家庭生活,过生日,L2-L3,Happy birthday! How old are you now?,Thank you! I'm turning seven today. It's a special day.,3,Happy birthday! / How old are you?,"birthday, old, special, gift"
D13,家庭生活,过生日,L2-L3,I brought you a gift. I hope you like it.,,3,Happy birthday! / How old are you?,"birthday, old, special, gift"
D14,社交场景,分享玩具,L2-L3,Can I play with your toy car for a while?,"Sure, but be careful with it. It's my favorite toy.",3,Can I play with...? / Be careful...,"play, toy, careful, favorite"
D14,社交场景,分享玩具,L2-L3,Thank you. I'll take good care of it.,,3,Can I play with...? / Be careful...,"play, toy, careful, favorite"
D15,情感表达,季节变化,L4-L5,"I love spring. The flowers bloom, and it's not too hot.",I prefer winter. I like playing in the snow and building snowmen.,3,I love/prefer... / I like playing...,"spring, winter, flower, snow, snowman"
D15,情感表达,季节变化,L4-L5,Each season has its own beauty.,,3,I love/prefer... / I like playing...,"spring, winter, flower, snow, snowman"
D16,学校生活,演出表演,L3-L5,Our school is having a talent show. Are you participating?,"Yes, I am going to sing a song. What about you?",3,Are you...? / I am going to...,"talent, show, sing, dance, practice"
D16,学校生活,演出表演,L3-L5,I'll be dancing with a group of friends. Let's practice together.,,3,Are you...? / I am going to...,"talent, show, sing, dance, practice"
D17,社交场景,看电影,L4-L5,There's a new movie in theaters. Do you want to go?,"Yes, I'd love to. What time does it start?",3,Do you want to...? / What time...?,"movie, theater, start, cinema, meet"
D17,社交场景,看电影,L4-L5,It starts at 5 p.m. Let's meet at the cinema entrance.,,3,Do you want to...? / What time...?,"movie, theater, start, cinema, meet"
D18,情感表达,旅行计划,L5-L6,Where would you like to go on a trip?,I want to visit Disneyland. It is my dream.,3,Where would you like to...? / I want to...,"trip, visit, dream, plan, magical"
D18,情感表达,旅行计划,L5-L6,That sounds like a magical place. Let's plan a trip there.,,3,Where would you like to...? / I want to...,"trip, visit, dream, plan, magical"
D19,家庭生活,去超市购物,L3-L4,We need to buy some groceries. Let us go to the supermarket.,Okay. What do we need to buy?,3,We need to... / What do we need...?,"grocery, supermarket, milk, bread, egg"
D19,家庭生活,去超市购物,L3-L4,"We need milk, bread, eggs, and fruits for the week.",,3,We need to... / What do we need...?,"grocery, supermarket, milk, bread, egg"
D20,社交场景,在海滩玩耍,L3-L4,The weather is nice today. Shall we go to the beach?,Great idea! We can build sandcastles and swim in the ocean.,3,Shall we...? / We can...,"beach, sandcastle, swim, ocean, ball"
D20,社交场景,在海滩玩耍,L3-L4,Let us bring a beach ball and have a game too.,,3,Shall we...? / We can...,"beach, sandcastle, swim, ocean, ball"
